Team,Season,2010,2011,2012,2013,2014,2015,2016,2017
OKC,2017,0,0,0,0,0,0,0,1
MEM,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
LAL,2017,0,0,0,0,0,0,0,1
TOR,2017,0,0,0,0,0,0,0,1
MIA,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
MIA,2017,0,0,0,0,0,0,0,1
IND,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
LAC,2017,0,0,0,0,0,0,0,1
MEM,2017,0,0,0,0,0,0,0,1
SAC,2017,0,0,0,0,0,0,0,1
SAS,2017,0,0,0,0,0,0,0,1
HOU,2017,0,0,0,0,0,0,0,1
SAS,2017,0,0,0,0,0,0,0,1
DAL,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
UTA,2017,0,0,0,0,0,0,0,1
NOP,2017,0,0,0,0,0,0,0,1
BOS,2017,0,0,0,0,0,0,0,1
ATL,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
NOP,2017,0,0,0,0,0,0,0,1
CLE,2017,0,0,0,0,0,0,0,1
UTA,2017,0,0,0,0,0,0,0,1
LAC,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
SAC,2017,0,0,0,0,0,0,0,1
BRK,2017,0,0,0,0,0,0,0,1
CLE,2017,0,0,0,0,0,0,0,1
TOR,2017,0,0,0,0,0,0,0,1
DAL,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
ORL,2017,0,0,0,0,0,0,0,1
IND,2017,0,0,0,0,0,0,0,1
DEN,2017,0,0,0,0,0,0,0,1
DAL,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
SAS,2017,0,0,0,0,0,0,0,1
LAC,2017,0,0,0,0,0,0,0,1
MEM,2017,0,0,0,0,0,0,0,1
LAC,2017,0,0,0,0,0,0,0,1
ATL,2017,0,0,0,0,0,0,0,1
CLE,2017,0,0,0,0,0,0,0,1
WAS,2017,0,0,0,0,0,0,0,1
LAC,2017,0,0,0,0,0,0,0,1
IND,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
GSW,2017,0,0,0,0,0,0,0,1
OKC,2017,0,0,0,0,0,0,0,1
TOT,2017,0,0,0,0,0,0,0,1
LAL,2017,0,0,0,0,0,0,0,1
IND,2017,0,0,0,0,0,0,0,1
ATL,2010,1,0,0,0,0,0,0,0
TOR,2010,1,0,0,0,0,0,0,0
ATL,2011,0,1,0,0,0,0,0,0
TOR,2011,0,1,0,0,0,0,0,0
POR,2012,0,0,1,0,0,0,0,0
TOR,2012,0,0,1,0,0,0,0,0
LAC,2013,0,0,0,1,0,0,0,0
TOR,2013,0,0,0,1,0,0,0,0
LAC,2014,0,0,0,0,1,0,0,0
TOR,2014,0,0,0,0,1,0,0,0
LAC,2015,0,0,0,0,0,1,0,0
TOR,2015,0,0,0,0,0,1,0,0
LAC,2016,0,0,0,0,0,0,1,0
BOS,2016,0,0,0,0,0,0,1,0
LAC,2017,0,0,0,0,0,0,0,1
BOS,2017,0,0,0,0,0,0,0,1
